epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2632.45,1.07068,1.39468,1.0399,0.78538,0.65359,0.70621,0.41602,1.56221,2.14005,1.28025,0.006337,0.006337,0.006337
112,2656.12,1.05225,1.38107,1.03588,0.78895,0.66359,0.72532,0.4307,1.57024,2.06053,1.27847,0.0063037,0.0063037,0.0063037
113,2679.69,1.05414,1.37037,1.0385,0.75455,0.68146,0.7173,0.41756,1.5911,2.14767,1.28283,0.0062704,0.0062704,0.0062704
114,2703.54,1.04563,1.36619,1.03078,0.83646,0.63371,0.71709,0.42794,1.58103,2.15422,1.29078,0.0062371,0.0062371,0.0062371
115,2727.58,1.05227,1.36592,1.02897,0.81418,0.64521,0.73907,0.42965,1.58652,2.077,1.27721,0.0062038,0.0062038,0.0062038
116,2751.21,1.05582,1.3566,1.03356,0.80998,0.66479,0.7311,0.43626,1.56944,2.09233,1.26729,0.0061705,0.0061705,0.0061705
117,2775.18,1.03258,1.33884,1.02341,0.79975,0.64551,0.72089,0.426,1.56683,2.09722,1.27433,0.0061372,0.0061372,0.0061372
118,2798.84,1.05919,1.38983,1.04038,0.80793,0.65464,0.72644,0.431,1.55864,2.08897,1.26297,0.0061039,0.0061039,0.0061039
119,2822.43,1.04477,1.34253,1.03167,0.75652,0.69281,0.72911,0.43245,1.5614,2.17449,1.2609,0.0060706,0.0060706,0.0060706
120,2846.31,1.05066,1.36331,1.03111,0.81502,0.63901,0.73165,0.43563,1.55377,2.13428,1.2601,0.0060373,0.0060373,0.0060373
121,2869.94,1.03779,1.35378,1.02508,0.80835,0.63978,0.7273,0.43434,1.57042,2.09013,1.26788,0.006004,0.006004,0.006004
122,2894.03,1.04441,1.34202,1.03067,0.79724,0.68304,0.73261,0.43433,1.58151,2.09894,1.27228,0.0059707,0.0059707,0.0059707
123,2917.64,1.04027,1.36795,1.02844,0.78467,0.66629,0.73376,0.43968,1.57335,2.20006,1.28413,0.0059374,0.0059374,0.0059374
124,2941.33,1.03838,1.34834,1.02709,0.78798,0.66994,0.72792,0.4374,1.56929,2.13215,1.26953,0.0059041,0.0059041,0.0059041
125,2965.04,1.05991,1.37985,1.03422,0.78347,0.66412,0.72626,0.43745,1.57608,2.11215,1.27289,0.0058708,0.0058708,0.0058708
126,2988.68,1.03265,1.34244,1.0276,0.799,0.63588,0.72803,0.43223,1.56923,2.19079,1.26485,0.0058375,0.0058375,0.0058375
127,3012.38,1.04382,1.34269,1.02869,0.78495,0.65973,0.72559,0.43958,1.56556,2.07245,1.26082,0.0058042,0.0058042,0.0058042
128,3036.03,1.02682,1.32623,1.01792,0.74627,0.65602,0.72084,0.42481,1.58047,2.15452,1.27464,0.0057709,0.0057709,0.0057709
129,3059.7,1.04664,1.35554,1.02794,0.81279,0.64353,0.73063,0.43227,1.57619,2.07446,1.27353,0.0057376,0.0057376,0.0057376
130,3083.58,1.02906,1.32059,1.02426,0.81875,0.64569,0.72194,0.43162,1.56013,2.12264,1.27425,0.0057043,0.0057043,0.0057043
131,3107.24,1.03981,1.33514,1.02751,0.82626,0.64609,0.72699,0.43165,1.56154,2.07142,1.27555,0.005671,0.005671,0.005671
132,3130.97,1.02868,1.33486,1.02628,0.77022,0.67572,0.73703,0.43937,1.54748,2.01813,1.255,0.0056377,0.0056377,0.0056377
133,3154.74,1.04104,1.35641,1.02763,0.79391,0.64569,0.72608,0.4202,1.58269,2.02955,1.28575,0.0056044,0.0056044,0.0056044
134,3178.38,1.00971,1.3045,1.0166,0.80276,0.65284,0.7326,0.43499,1.55565,2.08411,1.26508,0.0055711,0.0055711,0.0055711
135,3202.42,1.03552,1.33059,1.02305,0.75819,0.67543,0.7353,0.43935,1.5484,2.00725,1.26853,0.0055378,0.0055378,0.0055378
136,3226.09,1.01486,1.32186,1.02082,0.78497,0.67659,0.73716,0.44503,1.54622,2.02596,1.26603,0.0055045,0.0055045,0.0055045
137,3249.92,1.02605,1.31226,1.01911,0.77638,0.66408,0.73169,0.4412,1.55345,2.10694,1.26366,0.0054712,0.0054712,0.0054712
138,3273.86,1.01559,1.31448,1.02239,0.80826,0.67244,0.74412,0.44804,1.5528,2.02646,1.26357,0.0054379,0.0054379,0.0054379
139,3297.63,1.00363,1.26439,1.00926,0.78678,0.66859,0.72986,0.44016,1.55092,2.07307,1.26897,0.0054046,0.0054046,0.0054046
140,3321.35,1.00928,1.3026,1.01711,0.81162,0.62604,0.71708,0.4237,1.56863,2.13789,1.27583,0.0053713,0.0053713,0.0053713
141,3345,0.99661,1.2638,1.00539,0.79639,0.6648,0.74031,0.43262,1.56833,2.10022,1.27164,0.005338,0.005338,0.005338
142,3368.71,1.00493,1.28689,1.01449,0.79813,0.66032,0.75165,0.44195,1.54861,1.98003,1.27053,0.0053047,0.0053047,0.0053047
143,3392.56,1.00913,1.29319,1.01682,0.75538,0.68181,0.73256,0.43396,1.56654,2.07523,1.26958,0.0052714,0.0052714,0.0052714
144,3416.23,1.01322,1.3022,1.01309,0.78376,0.68451,0.7374,0.43565,1.55822,2.04457,1.26659,0.0052381,0.0052381,0.0052381
